ADDRESS_STATE,OFFER_PRODUCT,OFFER_CHANNEL,BUREAU,EXPECTED_INHOME_DATE,UNIQUE_RESERVATION_CODE_COUNT,UNIQUE_APPLICANTS,UNIQUE_APPROVED,UNIQUE_FUNDED,RESPONSE_RATE_PCT,APPROVAL_RATE_PCT,FUND_RATE_PCT
AL,ILP,OMNI,FT,1/2/2024,23,1,1,1,4.35,4.35,4.35
AL,ILP,OMNI,LN,1/2/2024,2175,15,14,11,0.69,0.64,0.51
AL,ILP,OMNI,TU,1/2/2024,18474,95,92,81,0.51,0.5,0.44
AL,ILP,ONLINE,FT,1/2/2024,2,0,0,0,0,0,0
AL,ILP,ONLINE,LN,1/2/2024,54,0,0,0,0,0,0
AL,ILP,ONLINE,TU,1/2/2024,449,6,6,5,1.34,1.34,1.11
AL,ILP,STORE,FT,1/2/2024,20,0,0,0,0,0,0
AL,ILP,STORE,LN,1/2/2024,14,0,0,0,0,0,0
AL,ILP,STORE,TU,1/2/2024,13818,94,93,86,0.68,0.67,0.62
DE,ILP,OMNI,FT,1/2/2024,753,9,7,7,1.2,0.93,0.93
DE,ILP,OMNI,LN,1/2/2024,203,3,2,2,1.48,0.99,0.99
DE,ILP,OMNI,TU,1/2/2024,3222,12,12,7,0.37,0.37,0.22
DE,ILP,STORE,FT,1/2/2024,698,0,0,0,0,0,0
DE,ILP,STORE,LN,1/2/2024,361,1,1,1,0.28,0.28,0.28
DE,ILP,STORE,TU,1/2/2024,828,1,1,1,0.12,0.12,0.12
FL,ILP,OMNI,FT,1/2/2024,711,6,4,1,0.84,0.56,0.14
FL,ILP,OMNI,LN,1/2/2024,31,0,0,0,0,0,0
FL,ILP,OMNI,TU,1/2/2024,18072,170,102,82,0.94,0.56,0.45
FL,ILP,ONLINE,FT,1/2/2024,4,0,0,0,0,0,0
FL,ILP,ONLINE,TU,1/2/2024,59,1,1,1,1.69,1.69,1.69
FL,ILP,STORE,FT,1/2/2024,879,4,3,2,0.46,0.34,0.23
FL,ILP,STORE,LN,1/2/2024,18,0,0,0,0,0,0
ID,ILP,OMNI,FT,1/2/2024,527,5,3,3,0.95,0.57,0.57
ID,ILP,OMNI,LN,1/2/2024,91,0,0,0,0,0,0
ID,ILP,OMNI,TU,1/2/2024,2118,7,6,5,0.33,0.28,0.24
ID,ILP,ONLINE,FT,1/2/2024,512,3,3,2,0.59,0.59,0.39
ID,ILP,ONLINE,LN,1/2/2024,61,0,0,0,0,0,0
ID,ILP,ONLINE,TU,1/2/2024,1233,4,3,2,0.32,0.24,0.16
ID,ILP,STORE,FT,1/2/2024,562,2,1,1,0.36,0.18,0.18
ID,ILP,STORE,LN,1/2/2024,230,0,0,0,0,0,0
ID,ILP,STORE,TU,1/2/2024,620,1,1,1,0.16,0.16,0.16
KS,LOC,OMNI,FT,1/2/2024,735,2,2,2,0.27,0.27,0.27
KS,LOC,OMNI,LN,1/2/2024,310,0,0,0,0,0,0
KS,LOC,OMNI,TU,1/2/2024,6035,40,35,28,0.66,0.58,0.46
KS,LOC,ONLINE,FT,1/2/2024,89,0,0,0,0,0,0
KS,LOC,ONLINE,LN,1/2/2024,35,0,0,0,0,0,0
KS,LOC,ONLINE,TU,1/2/2024,652,2,2,1,0.31,0.31,0.15
KS,LOC,STORE,FT,1/2/2024,409,0,0,0,0,0,0
KS,LOC,STORE,LN,1/2/2024,443,5,4,3,1.13,0.9,0.68
MO,ILP,OMNI,FT,1/2/2024,4486,35,33,30,0.78,0.74,0.67
MO,ILP,OMNI,LN,1/2/2024,950,3,2,0,0.32,0.21,0
MO,ILP,OMNI,TU,1/2/2024,16210,60,57,46,0.37,0.35,0.28
MO,ILP,ONLINE,FT,1/2/2024,182,2,1,1,1.1,0.55,0.55
MO,ILP,ONLINE,LN,1/2/2024,80,0,0,0,0,0,0
MO,ILP,ONLINE,TU,1/2/2024,1741,4,3,2,0.23,0.17,0.11
MO,ILP,STORE,FT,1/2/2024,2869,4,4,4,0.14,0.14,0.14
MO,ILP,STORE,LN,1/2/2024,1327,11,9,9,0.83,0.68,0.68
MO,ILP,STORE,TU,1/2/2024,6658,37,30,25,0.56,0.45,0.38
MS,ILP,OMNI,FT,1/2/2024,3246,37,34,32,1.14,1.05,0.99
MS,ILP,OMNI,LN,1/2/2024,2394,21,20,15,0.88,0.84,0.63
MS,ILP,OMNI,TU,1/2/2024,23552,124,115,84,0.53,0.49,0.36
MS,ILP,ONLINE,FT,1/2/2024,38,1,0,0,2.63,0,0
MS,ILP,ONLINE,LN,1/2/2024,48,0,0,0,0,0,0
MS,ILP,ONLINE,TU,1/2/2024,353,3,3,3,0.85,0.85,0.85
MS,ILP,STORE,FT,1/2/2024,6936,20,14,12,0.29,0.2,0.17
MS,ILP,STORE,LN,1/2/2024,4151,43,39,34,1.04,0.94,0.82
MS,ILP,STORE,TU,1/2/2024,8230,84,71,62,1.02,0.86,0.75
NV,ILP,OMNI,FT,1/2/2024,2836,32,30,18,1.13,1.06,0.63
NV,ILP,OMNI,LN,1/2/2024,169,0,0,0,0,0,0
NV,ILP,OMNI,TU,1/2/2024,8884,45,38,24,0.51,0.43,0.27
NV,ILP,ONLINE,FT,1/2/2024,130,1,1,1,0.77,0.77,0.77
NV,ILP,ONLINE,LN,1/2/2024,34,0,0,0,0,0,0
NV,ILP,ONLINE,TU,1/2/2024,245,0,0,0,0,0,0
NV,ILP,STORE,FT,1/2/2024,1304,10,3,3,0.77,0.23,0.23
NV,ILP,STORE,LN,1/2/2024,289,2,1,1,0.69,0.35,0.35
NV,ILP,STORE,TU,1/2/2024,3124,22,18,18,0.7,0.58,0.58
OK,ILP,OMNI,FT,1/2/2024,3286,33,28,23,1,0.85,0.7
OK,ILP,OMNI,LN,1/2/2024,1014,2,1,1,0.2,0.1,0.1
OK,ILP,OMNI,TU,1/2/2024,15762,100,89,58,0.63,0.56,0.37
OK,ILP,ONLINE,FT,1/2/2024,439,1,1,0,0.23,0.23,0
OK,ILP,ONLINE,LN,1/2/2024,459,3,3,0,0.65,0.65,0
OK,ILP,ONLINE,TU,1/2/2024,3879,19,13,6,0.49,0.34,0.15
OK,ILP,STORE,FT,1/2/2024,2376,18,17,14,0.76,0.72,0.59
OK,ILP,STORE,LN,1/2/2024,1643,15,12,11,0.91,0.73,0.67
OK,ILP,STORE,TU,1/2/2024,4247,31,24,19,0.73,0.57,0.45
SC,LOC,OMNI,FT,1/2/2024,3255,38,34,29,1.17,1.04,0.89
SC,LOC,OMNI,LN,1/2/2024,2208,7,7,7,0.32,0.32,0.32
SC,LOC,OMNI,TU,1/2/2024,27256,136,124,109,0.5,0.45,0.4
SC,LOC,ONLINE,LN,1/2/2024,3,0,0,0,0,0,0
SC,LOC,ONLINE,TU,1/2/2024,17,0,0,0,0,0,0
SC,LOC,STORE,FT,1/2/2024,2585,26,18,17,1.01,0.7,0.66
SC,LOC,STORE,LN,1/2/2024,4230,42,30,29,0.99,0.71,0.69
SC,LOC,STORE,TU,1/2/2024,5856,39,28,26,0.67,0.48,0.44
TN,LOC,OMNI,FT,1/2/2024,1713,9,9,8,0.53,0.53,0.47
TN,LOC,OMNI,LN,1/2/2024,617,5,5,2,0.81,0.81,0.32
TN,LOC,OMNI,TU,1/2/2024,19319,89,82,63,0.46,0.42,0.33
TN,LOC,ONLINE,FT,1/2/2024,10,1,1,1,10,10,10
TN,LOC,ONLINE,LN,1/2/2024,80,0,0,0,0,0,0
TN,LOC,ONLINE,TU,1/2/2024,1863,9,9,5,0.48,0.48,0.27
TN,LOC,STORE,FT,1/2/2024,647,8,6,5,1.24,0.93,0.77
TN,LOC,STORE,LN,1/2/2024,727,4,3,3,0.55,0.41,0.41
TN,LOC,STORE,TU,1/2/2024,243,0,0,0,0,0,0
TX,ILP,OMNI,FT,1/2/2024,38251,367,320,245,0.96,0.84,0.64
TX,ILP,OMNI,LN,1/2/2024,2841,9,7,4,0.32,0.25,0.14
TX,ILP,OMNI,TU,1/2/2024,87016,413,381,238,0.47,0.44,0.27
TX,ILP,ONLINE,FT,1/2/2024,1648,12,10,6,0.73,0.61,0.36
TX,ILP,ONLINE,LN,1/2/2024,232,1,1,0,0.43,0.43,0
TX,ILP,ONLINE,TU,1/2/2024,6472,35,31,18,0.54,0.48,0.28
TX,ILP,STORE,FT,1/2/2024,19193,97,65,57,0.51,0.34,0.3
TX,ILP,STORE,LN,1/2/2024,4750,39,36,29,0.82,0.76,0.61
TX,ILP,STORE,TU,1/2/2024,3290,24,17,11,0.73,0.52,0.33
UT,ILP,OMNI,FT,1/2/2024,71,0,0,0,0,0,0
UT,ILP,OMNI,LN,1/2/2024,35,0,0,0,0,0,0
UT,ILP,OMNI,TU,1/2/2024,617,0,0,0,0,0,0
UT,ILP,ONLINE,FT,1/2/2024,877,12,7,5,1.37,0.8,0.57
UT,ILP,ONLINE,LN,1/2/2024,319,2,2,0,0.63,0.63,0
UT,ILP,ONLINE,TU,1/2/2024,314,1,1,1,0.32,0.32,0.32
UT,ILP,STORE,FT,1/2/2024,52,0,0,0,0,0,0
UT,ILP,STORE,LN,1/2/2024,59,0,0,0,0,0,0
UT,ILP,STORE,TU,1/2/2024,139,0,0,0,0,0,0
WI,ILP,OMNI,FT,1/2/2024,1224,14,14,10,1.14,1.14,0.82
WI,ILP,OMNI,LN,1/2/2024,338,0,0,0,0,0,0
WI,ILP,OMNI,TU,1/2/2024,13968,75,72,54,0.54,0.52,0.39
WI,ILP,ONLINE,FT,1/2/2024,159,0,0,0,0,0,0
WI,ILP,ONLINE,LN,1/2/2024,69,0,0,0,0,0,0
WI,ILP,ONLINE,TU,1/2/2024,2055,8,8,4,0.39,0.39,0.19
WI,ILP,STORE,FT,1/2/2024,1605,6,4,3,0.37,0.25,0.19
WI,ILP,STORE,LN,1/2/2024,660,4,4,3,0.61,0.61,0.45
WI,ILP,STORE,TU,1/2/2024,1177,4,4,4,0.34,0.34,0.34
AL,ILP,OMNI,LN,1/16/2024,2168,13,13,13,0.6,0.6,0.6
AL,ILP,OMNI,TU,1/16/2024,15440,55,53,42,0.36,0.34,0.27
AL,ILP,ONLINE,LN,1/16/2024,54,0,0,0,0,0,0
AL,ILP,ONLINE,TU,1/16/2024,397,0,0,0,0,0,0
AL,ILP,STORE,LN,1/16/2024,9,0,0,0,0,0,0
AL,ILP,STORE,TU,1/16/2024,11836,70,63,57,0.59,0.53,0.48
DE,ILP,OMNI,FT,1/16/2024,693,4,4,2,0.58,0.58,0.29
DE,ILP,OMNI,LN,1/16/2024,202,0,0,0,0,0,0
DE,ILP,OMNI,TU,1/16/2024,2659,8,7,6,0.3,0.26,0.23
DE,ILP,STORE,FT,1/16/2024,614,0,0,0,0,0,0
DE,ILP,STORE,LN,1/16/2024,361,1,1,1,0.28,0.28,0.28
DE,ILP,STORE,TU,1/16/2024,706,0,0,0,0,0,0
FL,ILP,OMNI,FT,1/16/2024,457,1,1,1,0.22,0.22,0.22
FL,ILP,OMNI,TU,1/16/2024,15848,92,61,49,0.58,0.38,0.31
FL,ILP,ONLINE,FT,1/16/2024,4,0,0,0,0,0,0
FL,ILP,ONLINE,TU,1/16/2024,56,0,0,0,0,0,0
FL,ILP,STORE,FT,1/16/2024,605,4,1,1,0.66,0.17,0.17
ID,ILP,OMNI,FT,1/16/2024,501,1,1,1,0.2,0.2,0.2
ID,ILP,OMNI,LN,1/16/2024,62,0,0,0,0,0,0
ID,ILP,OMNI,TU,1/16/2024,1796,6,6,4,0.33,0.33,0.22
ID,ILP,ONLINE,FT,1/16/2024,493,1,1,1,0.2,0.2,0.2
